"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","barrio","umenores"
"37","onlyap599232738a46554f807af44937","https://www.only-apartments.es/_/674423",-1.98642253875732,43.323562039968,"2018-04-22 22:42:47.187000","2018-04-24 11:53:35.622000","onlyap674423","Apartamento",NA,2,NA,1,NA,"Centro","Parte Vieja"
"38","onlyap599232738a46554f807af44938","https://www.only-apartments.es/_/917239",-1.98722139999995,43.3237421,"2018-04-17 11:35:54.370000","2018-04-18 18:40:27.112000","onlyap917239","Apartamento",NA,5,NA,2,NA,"Centro","Parte Vieja"
"39","onlyap599232738a46554f807af44939","https://www.only-apartments.es/_/917377",-1.98552889999996,43.3224817,"2018-04-17 11:39:09.256000","2018-04-18 21:33:31.768000","onlyap917377","Apartamento",NA,7,NA,4,NA,"Centro","Parte Vieja"
"40","onlyap599232738a46554f807af44940","https://www.only-apartments.es/_/917341",-1.98529819999999,43.3225413,"2018-04-17 11:40:14.870000","2018-04-18 22:28:04.084000","onlyap917341","Apartamento",NA,8,NA,4,NA,"Centro","Parte Vieja"
"41","onlyap599232738a46554f807af44941","https://www.only-apartments.es/_/917317",-1.98556039999994,43.3237148,"2018-04-17 11:38:17.703000","2018-04-18 20:57:09.779000","onlyap917317","Apartamento",NA,6,NA,3,NA,"Centro","Parte Vieja"
"42","onlyap599232738a46554f807af44942","https://www.only-apartments.es/_/917357",-1.98451950000003,43.3238989,"2018-04-17 11:33:34.072000","2018-04-18 16:48:57.732000","onlyap917357","Apartamento",NA,4,NA,2,NA,"Centro","Parte Vieja"
"43","onlyap599232738a46554f807af44943","https://www.only-apartments.es/_/639716",-1.984293,43.323298,"2018-03-31 17:54:43.980000","2018-04-14 16:01:09.009000","onlyap639716","Apartamento",NA,6,NA,2,NA,"Centro","Parte Vieja"
"44","onlyap599232738a46554f807af44944","https://www.only-apartments.es/_/917288",-1.98145069999998,43.3237368,"2018-04-17 11:35:54.361000","2018-04-18 18:39:18.596000","onlyap917288","Apartamento",NA,5,NA,2,NA,"Centro","Area Romantica"
"45","onlyap599232738a46554f807af44945","https://www.only-apartments.es/_/917268",-1.9810605,43.3235433,"2018-04-17 11:38:17.706000","2018-04-18 21:00:26.599000","onlyap917268","Apartamento",NA,6,NA,3,NA,"Centro","Area Romantica"
"46","onlyap599232738a46554f807af44946","https://www.only-apartments.es/_/961213",-1.981588,43.324128,"2018-04-22 22:42:47.189000","2018-04-24 11:55:00.661000","onlyap961213","Apartamento",NA,3,NA,2,NA,"Centro","Area Romantica"
"47","onlyap599232738a46554f807af44947","https://www.only-apartments.es/_/917304",-1.97852160000002,43.3231446,"2018-04-17 11:32:31.319000","2018-04-24 01:39:31.021000","onlyap917304","Apartamento",NA,3,NA,2,NA,"Gros","Gros"
"48","onlyap599232738a46554f807af44948","https://www.only-apartments.es/_/917197",-1.97991950000005,43.3205926,"2018-04-17 11:38:17.703000","2018-04-18 20:57:27.875000","onlyap917197","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
"49","onlyap599232738a46554f807af44949","https://www.only-apartments.es/_/917278",-1.97991950000005,43.3205926,"2018-04-17 11:38:22.847000","2018-04-18 21:03:37.602000","onlyap917278","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
"50","onlyap599232738a46554f807af44950","https://www.only-apartments.es/_/917355",-1.98063579999996,43.320283,"2018-04-17 11:33:34.064000","2018-04-24 09:01:59.162000","onlyap917355","Apartamento",NA,3,NA,1,NA,"Centro","Area Romantica"
"51","onlyap599232738a46554f807af44951","https://www.only-apartments.es/_/917358",-1.97944580000001,43.3189713,"2018-04-17 11:33:34.066000","2018-04-18 16:46:49.944000","onlyap917358","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"52","onlyap599232738a46554f807af44952","https://www.only-apartments.es/_/917311",-1.97934069999997,43.3186308,"2018-04-17 11:33:38.547000","2018-04-24 11:02:34.311000","onlyap917311","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"53","onlyap599232738a46554f807af44953","https://www.only-apartments.es/_/917247",-1.98067889999993,43.3178446,"2018-04-17 11:33:34.068000","2018-04-24 11:07:18.856000","onlyap917247","Apartamento",NA,4,NA,1,NA,"Centro","Area Romantica"
"54","onlyap599232738a46554f807af44954","https://www.only-apartments.es/_/917267",-1.98017679999998,43.3186923,"2018-04-17 11:38:13.719000","2018-04-18 20:49:35.721000","onlyap917267","Apartamento",NA,6,NA,2,NA,"Centro","Area Romantica"
"55","onlyap599232738a46554f807af44955","https://www.only-apartments.es/_/917273",-1.98011629999996,43.3186464,"2018-04-17 11:39:09.266000","2018-04-18 21:34:48.370000","onlyap917273","Apartamento",NA,7,NA,3,NA,"Centro","Area Romantica"
"56","onlyap599232738a46554f807af44956","https://www.only-apartments.es/_/917223",-1.98009,43.31868,"2018-04-17 11:33:09.986000","2018-04-24 06:51:17.327000","onlyap917223","Apartamento",NA,4,NA,2,NA,"Centro","Area Romantica"
"57","onlyap599232738a46554f807af44957","https://www.only-apartments.es/_/917303",-1.98009252548218,43.3186836390722,"2018-04-17 11:35:49.087000","2018-04-18 18:37:05.248000","onlyap917303","Apartamento",NA,5,NA,2,NA,"Centro","Area Romantica"
