"","id","latitude","longitude","price","accommodates","room_type","host_id","host_name","source","barrio","umenores"
"59",13055431,43.325368840399,-1.97306009272686,35,1,"Private room",72282344,"I Feel Sweel","InsideAirbnb,Santi Espinosa","Gros","Gros"
"60",1906056,43.3236623920017,-1.98522235121363,35,3,"Private room",9893159,"Joseba","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"61",13079986,43.3173113867399,-1.97522682465173,90,2,"Entire home/apt",60269276,"Iban","InsideAirbnb,Santi Espinosa","Egia","Atotxa"
"62",14464440,43.3224086404141,-1.96958380401698,150,6,"Entire home/apt",40631970,"Sofia","InsideAirbnb,Santi Espinosa","Gros","Gros"
"63",12178871,43.323591254153,-1.98606481759571,195,4,"Entire home/apt",38990075,"María","InsideAirbnb,Santi Espinosa","Centro","Parte Vieja"
"64",12219819,43.3192174337647,-2.03070953111368,99,4,"Entire home/apt",65708005,"Kayros","InsideAirbnb,Santi Espinosa","Igeldo","IGELDO"
"65",14310984,43.3218381976013,-1.96930779516875,70,2,"Private room",40631970,"Sofia","InsideAirbnb,Santi Espinosa","Egia","Jai - Alai"
"66",14292389,43.3163682918926,-1.98286786388966,140,5,"Entire home/apt",28638575,"Aitziber","InsideAirbnb,Santi Espinosa","Centro","Area Romantica"
"67",11620055,43.3247384488988,-1.97429047923751,70,4,"Entire home/apt",8517912,"Paula","InsideAirbnb,Santi Espinosa","Gros","Gros"
"68",6983356,43.3245027881961,-1.97907579937565,95,3,"Entire home/apt",3952766,"Jon","InsideAirbnb,Santi Espinosa","Gros","Gros"
"69",1339052,43.3148595033688,-2.00157070383937,114,8,"Entire home/apt",7260628,"Iñigo","InsideAirbnb,Santi Espinosa","Antiguo","Matia"
"70",11841200,43.3085113877594,-1.97714387396045,80,4,"Entire home/apt",18192487,"José Mari","InsideAirbnb,Santi Espinosa","Amara Berri","Amara - Berri"
"71",14148770,43.2894597300584,-1.98996277268315,80,2,"Private room",31570167,"Maialen","InsideAirbnb,Santi Espinosa","Miramon-Zorroaga","Oriamendi"
