host_id,host_name,alojamientos,sum_accomodates
23510666,Olatz,1,4
23731173,Aitor,1,2
23783738,Montse,1,2
23801039,Jone,1,2
23819599,Isabel,1,2
23937571,Ane,1,4
24230477,Rodrigo,1,4
24280325,Conchita,1,5
24450876,Maitane,1,4
24550811,Fernando,1,4
24583214,Aitor,1,2
24686186,Aritz,1,5
24766134,Estitxu,1,4
25035028,Iker,1,2
25221342,Ss Housing,1,2
25365334,Mikel,1,4
25702288,Joseba,1,6
25733378,Brenda & Jose,1,2
25932334,Iñigo,1,4
26671296,Alexey,1,1
27623958,Nerea,1,5
27677276,Inma,1,4
27699155,Xabi,1,6
27820050,Karmele,1,2
27827094,Carolina,1,3
27935393,Beatriz,1,8
27984336,Cristina,1,4
28211354,Estibaliz,1,5
28337583,Ainhoa & Ane,1,2
28360989,Eneko,1,2
28493758,Maria,1,4
28544877,Ana,1,7
28609881,Eva,1,6
28638575,Ana,1,5
28753118,Aitziber,1,5
29271895,Iban,1,6
29300321,Santiago,1,2
29690945,Myriam,1,6
29697318,Fernando,1,3
29744524,Inigo,1,4
29815488,Ignacio,1,6
30100717,Brendon & Nick,1,6
30214527,Javier Ezequiel,1,5
30720805,Adriana,1,4
31019676,Eba,1,4
31208960,Ana Isabel,1,2
31570167,Monika,1,2
31582188,Maialen,1,2
31986490,Ainhoa,1,4
31990516,Rafael,1,6
32128103,Olga,1,4
32246889,Rodrigo,1,4
32252822,Oihana,1,2
32469333,Nora,1,4
32672081,Anderson,1,4
32827088,Reyes,1,3
32988222,Adrián,1,2
33063854,Jaione,1,4
33206224,Lucia,1,4
33600942,Patricio,1,3
34211190,Angel,1,1
34265055,Aneklau,1,4
34452992,Manoli,1,9
34499947,Jara,1,6
34508326,Jose,1,6
34806472,Hugo,1,2
35185912,Aitzol,1,2
35201959,Esther,1,4
35205333,Aitor,1,5
35211044,Adele,1,2
35221154,Marga,1,4
35292208,Olatz,1,4
35321362,Jon,1,6
35387153,Koko Mai,1,5
35445848,Inma,1,6
35573424,Tomas,1,4
35755884,Paulo,1,2
35855383,Borja,1,3
36152588,David,1,2
36212190,Monica,1,2
36506256,Sarah,1,8
36531637,MariCarmen,1,2
36595893,Iñaki,1,6
36598239,Pomen,1,3
36623039,Martin,1,4
36626870,Unai,1,4
36712928,Carolina,1,4
36721556,Alaitz,1,1
37241970,Bea,1,4
37261917,Javier,1,8
37632910,Rosario,1,3
37824430,Nuntz,1,5
38085461,David & Shandra,1,6
38107504,Alex,1,4
38246381,Mercedes,1,2
38259578,Isabel,1,2
38381170,Raquel & Joseba,1,5
38581049,Mari Carmen,1,6
38675974,Roberto,1,1
38955484,Mathieu,1,3
39105792,María,1,3
39156075,Jon Area,1,3
39332444,Kristina & Iker,1,2
39712030,Borja,1,4
39740449,Dorleta,1,2
40184350,Martin,1,6
40272493,Iñaki,1,4
40453600,Alexander,1,9
40761716,Sofia,1,7
40767857,Sebastian,1,4
41308298,Pat,1,2
41338358,Elena,1,10
41387826,Ioxeba,1,6
41451052,Imanol,1,4
41787029,Harriet,1,2
42455382,Lander,1,4
42744173,Iñigo,1,4
42757573,Borja,1,2
42775403,Santi,1,2
42775520,Océane&Jérémy,1,3
42960862,Maria,1,3
42995908,Mai,1,7
42996331,Estibalitz,1,2
42998598,Maria Jesús,1,1
43529841,Arri,1,5
43658551,Olatz,1,3
43764976,Rodrigo,1,3
43809989,Jon,1,4
43850959,Dal,1,3
44003981,Andrea,1,4
44350286,Teresa,1,4
45061654,Sonia,1,2
45278033,Maider,1,4
45341951,Irene,1,4
45468758,Asier,1,2
45542311,F.,1,2
45614226,Iñigo,1,6
45732694,Soledad,1,6
46010295,Ion,1,2
46137749,Olga,1,2
46202105,Joxe,1,2
46207356,Itsaso,1,5
46269538,Javier,1,6
46278570,Paula,1,4
46622471,Patxi,1,6
46724907,Tristán,1,6
46725741,Vanessa Y,1,4
46751344,Guillermina,1,4
46778837,Alfonso,1,4
46831784,Edurne,1,5
46867634,Ion,1,3
47240699,Iñaki,1,2
