"","id","url","longitude","latitude","found","revised","host.id","room_type","bedrooms","capacity","reviews","min_nights","price","name","img","barrio","umenores"
"1735","airbnb2995523","https://www.airbnb.es/rooms/2995523",-2.00836534075497,43.3130232732042,"2017-08-16 18:39:31.637000","2017-09-08 09:53:37.594000","airbnb15270260","entire_home",1,2,52,2,126,"NUEVO APART.PLAYA ONDARRETA,GARAJE","https://a0.muscache.com/im/pictures/38469832/4d2cf050_original.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1736","airbnb19745907","https://www.airbnb.es/rooms/19745907",-2.00625812094449,43.3133376845592,"2017-08-16 18:39:31.636000","2018-04-15 15:07:26.182000","airbnb15707672","entire_home",3,6,6,3,216,"Eder | Ondarreta, Wi-Fi.","https://a0.muscache.com/im/pictures/611a6583-ee95-4aca-88bb-32057a1775fa.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1737","airbnb16075312","https://www.airbnb.es/rooms/16075312",-2.005822,43.313549,"2017-08-16 18:39:31.636000","2018-04-15 15:07:58.066000","airbnb12954077","entire_home",0,4,33,2,94,"ONDARRETA, TERRAZA, WIFI","https://a0.muscache.com/im/pictures/2d48a547-e610-430b-9082-8872d31a56a0.jpg?aki_policy=medium","Antiguo","Ondarreta"
"1738","airbnb625045","https://www.airbnb.es/rooms/625045",-2.00566930432786,43.3126182367086,"2017-08-16 18:39:27.606000","2018-04-15 15:05:10.686000","airbnb3100870","entire_home",2,3,314,2,66,"Atico en Donostia - San Sebastian","https://a0.muscache.com/im/pictures/8487717/5469b612_original.jpg?aki_policy=medium","Antiguo","Benta - Berri"
"1739","airbnb15266735","https://www.airbnb.es/rooms/15266735",-2.005736,43.312611,"2017-08-16 18:39:35.813000","2018-04-15 15:07:02.881000","airbnb12954077","entire_home",2,5,67,2,126,"BENTA BERRI, GARAJE, AC, WIFI","https://a0.muscache.com/im/pictures/b97ce8c2-1b23-43b6-b09c-4ba5add04569.jpg?aki_policy=medium","Antiguo","Benta - Berri"
"1740","airbnb22662377","https://www.airbnb.es/rooms/22662377",-2.00469678825476,43.3121809086475,"2018-04-05 23:54:51.693000","2018-04-15 08:38:20.542000","airbnb149857415","entire_home",2,4,3,2,89,"Piso en San Sebastian","https://a0.muscache.com/im/pictures/47f77b93-cdeb-4e51-a72a-b8edd4e31c7e.jpg?aki_policy=medium","Antiguo","Benta - Berri"
"1741","airbnb19994496","https://www.airbnb.es/rooms/19994496",-2.00513429413803,43.3125202422903,"2017-08-16 18:39:27.606000","2017-09-08 09:54:05.879000","airbnb141860436","entire_home",4,6,5,3,170,"Ondarreta 23-Apartamento 4 dormitorios","https://a0.muscache.com/im/pictures/90e559ef-a650-49d4-b634-256f0b63f92e.jpg?aki_policy=medium","Antiguo","Benta - Berri"
"1742","airbnb430475","https://www.airbnb.es/rooms/430475",-2.00473835875234,43.3127376220191,"2018-04-05 23:55:28.537000","2018-04-15 08:41:33.160000","airbnb2131752","entire_home",3,5,14,6,190,"Atico con terraza en Ondarreta","https://a0.muscache.com/im/pictures/4955387/c6d63d9a_original.jpg?aki_policy=medium","Antiguo","Matia"
"1743","airbnb11725346","https://www.airbnb.es/rooms/11725346",-2.00418265743166,43.3127633288436,"2017-08-16 18:39:47.507000","2018-04-15 15:08:09.219000","airbnb18192487","entire_home",2,3,6,2,102,"Matia, junto a la playa Ondarreta","https://a0.muscache.com/im/pictures/2c706b15-df25-4d62-80cc-dc3121c38b48.jpg?aki_policy=medium","Antiguo","Matia"
"1744","airbnb11841903","https://www.airbnb.es/rooms/11841903",-2.00415089892163,43.3124642666703,"2017-08-16 18:39:23.514000","2017-09-08 09:54:23.056000","airbnb63100080","entire_home",3,6,60,2,150,"ONDARRETA 5' Playa. Aizkorri 24. WiFi, Parking.","https://a0.muscache.com/im/pictures/940b348d-4595-4fac-a155-6932aa3e3cba.jpg?aki_policy=medium","Antiguo","Matia"
"1745","airbnb18219003","https://www.airbnb.es/rooms/18219003",-2.00327384475593,43.3121082000638,"2018-04-07 13:21:30.879000","2018-04-15 15:11:05.058000","airbnb125802316","entire_home",3,5,3,6,160,"APARTAMENTO IDEAL FAMILIAS.","https://a0.muscache.com/im/pictures/7030ce74-946c-40e1-afff-fd784fbb68d2.jpg?aki_policy=medium","Antiguo","Heriz - Aizgorri"
"1746","airbnb13507793","https://www.airbnb.es/rooms/13507793",-2.00305307857978,43.3130695524798,"2017-08-16 18:39:23.515000","2018-04-15 15:06:10.189000","airbnb52413887","entire_home",2,3,20,2,159,"ONDARRETA, 77 m2,  FREE PARKING/WIFI","https://a0.muscache.com/im/pictures/9dc705a2-f4da-42cb-bec6-9d83b48efaf1.jpg?aki_policy=medium","Antiguo","Matia"
"1747","airbnb7869417","https://www.airbnb.es/rooms/7869417",-2.00326577968371,43.3131045346253,"2017-08-16 18:39:23.515000","2017-09-08 09:54:43.477000","airbnb41387826","entire_home",2,6,67,2,75,"Aprto. junto a playa de Ondarreta","https://a0.muscache.com/im/pictures/058a5103-8257-44fb-bbaa-c2b9c1a5fe4c.jpg?aki_policy=medium","Antiguo","Matia"
