id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,reviews_20180912,lastreview_20180912,exists_20180912
airbnb599232778a46554f807af49f1072,https://www.airbnb.com/rooms/15832571,-2.9405707753054804,43.26282554942929,2018-05-05 02:55:05.392000,2018-06-01 05:28:48.180000,airbnb30235688,entire_home,2,4,28,2,148,0,0,0
airbnb599232778a46554f807af49f1073,https://www.airbnb.com/rooms/20361339,-2.941044521570915,43.26488808890052,2017-08-17 08:02:32.215000,2017-09-08 01:00:33.528000,airbnb145229711,entire_home,1,2,7,2,42,0,0,0
airbnb599232778a46554f807af49f1074,https://www.airbnb.com/rooms/3474480,-2.9425169693755673,43.264635244120456,2017-08-17 01:40:16.996000,2017-09-08 01:00:40.281000,airbnb5372544,entire_home,0,2,71,3,53,0,0,0
airbnb599232778a46554f807af49f1075,https://www.airbnb.com/rooms/5483636,-2.9421085608678426,43.26691196268899,2017-08-17 01:40:45.510000,2017-09-08 01:00:46.181000,airbnb28439006,entire_home,3,6,10,3,200,0,0,0
airbnb599232778a46554f807af49f1076,https://www.airbnb.com/rooms/3719419,-2.9403867883299317,43.26746889385109,2017-08-17 08:04:00.483000,2018-06-01 05:29:06.497000,airbnb18992702,entire_home,2,4,252,2,77,267,2018-07-01 00:00:00,1
airbnb599232778a46554f807af49f1077,https://www.airbnb.com/rooms/2581708,-2.9400305230765866,43.266967421863896,2017-08-17 08:04:04.396000,2017-09-08 01:00:58.829000,airbnb13220501,entire_home,2,4,46,2,150,0,0,0
airbnb599232778a46554f807af49f1078,https://www.airbnb.com/rooms/21132797,-2.9389181553042394,43.26681339826053,2018-05-25 11:00:58.941000,2018-06-01 05:30:08.995000,airbnb147327057,entire_home,4,5,6,1,478,0,0,0
airbnb599232778a46554f807af49f1079,https://www.airbnb.com/rooms/19538884,-2.9387257804277453,43.26672629979952,2017-08-17 08:04:00.483000,2018-06-01 05:28:51.335000,airbnb128095710,entire_home,3,6,37,2,221,50,2018-09-01 00:00:00,1
airbnb599232778a46554f807af49f1080,https://www.airbnb.com/rooms/16927758,-2.939724437641548,43.264266452129085,2017-08-17 08:02:39.494000,2017-09-08 01:01:14.209000,airbnb62400062,private_room,1,2,21,1,30,0,0,0
airbnb599232778a46554f807af49f1081,https://www.airbnb.com/rooms/19053436,-2.940062474769871,43.26316592781853,2017-08-17 08:02:47.766000,2018-06-01 05:29:38.368000,airbnb101618589,private_room,2,2,11,2,66,0,0,1
airbnb599232778a46554f807af49f1082,https://www.airbnb.com/rooms/16753353,-2.939092362505831,43.2630659197258,2017-08-17 08:02:43.512000,2017-09-08 01:01:25.472000,airbnb111157693,entire_home,4,7,20,2,135,0,0,0
airbnb599232778a46554f807af49f1083,https://www.airbnb.com/rooms/16225672,-2.9390068006187042,43.2630597718241,2017-08-17 08:02:59.760000,2018-06-01 05:30:05.873000,airbnb85063622,entire_home,4,7,26,1,173,0,0,0
airbnb599232778a46554f807af49f1084,https://www.airbnb.com/rooms/14363599,-2.938457165229951,43.262964296104094,2018-05-05 02:55:02.927000,2018-06-01 05:28:13.026000,airbnb87723854,private_room,0,2,18,2,78,22,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1085,https://www.airbnb.com/rooms/21423542,-2.9381289527564567,43.26344753555186,2018-05-25 11:00:58.942000,2018-06-01 05:30:29.022000,airbnb144250630,entire_home,2,4,14,1,132,0,0,0
airbnb599232778a46554f807af49f1086,https://www.airbnb.com/rooms/19591425,-2.937702331387353,43.26309347440097,2017-08-17 08:02:35.810000,2018-06-01 05:29:12.208000,airbnb56054495,entire_home,4,6,13,2,179,22,2018-07-01 00:00:00,1
airbnb599232778a46554f807af49f1087,https://www.airbnb.com/rooms/24862843,-2.9382018347142287,43.262522771494524,2018-05-05 15:35:09.033000,2018-06-01 05:25:38.254000,airbnb187943267,entire_home,2,4,1,1,239,8,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1088,https://www.airbnb.com/rooms/16182143,-2.938243081911949,43.262334494994754,2017-08-17 08:02:35.809000,2018-05-08 08:10:32.774000,airbnb105663223,entire_home,0,6,6,2,113,0,0,0
airbnb599232778a46554f807af49f1089,https://www.airbnb.com/rooms/24861454,-2.938324173304032,43.26175420125125,2018-05-05 15:35:09.033000,2018-06-01 05:25:40.782000,airbnb187943267,entire_home,2,4,0,1,239,5,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1090,https://www.airbnb.com/rooms/20303976,-2.937588250188222,43.26132205471644,2017-08-17 08:02:32.215000,2018-06-01 05:23:28.467000,airbnb100886483,private_room,1,1,23,1,50,43,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1091,https://www.airbnb.com/rooms/16903100,-2.9386015418787648,43.26092146492923,2017-08-17 08:02:47.766000,2017-09-08 01:01:53.557000,airbnb105663223,entire_home,2,5,1,2,83,0,0,0
airbnb599232778a46554f807af49f1092,https://www.airbnb.com/rooms/19605898,-2.939075816119305,43.260960946160466,2017-08-17 08:02:59.761000,2018-06-01 05:24:49.959000,airbnb59513614,entire_home,4,7,9,2,179,22,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1093,https://www.airbnb.com/rooms/17722517,-2.939481019706933,43.26101644503932,2017-08-17 08:02:51.798000,2017-09-08 01:02:05.281000,airbnb120770310,entire_home,3,5,6,3,100,0,0,0
airbnb599232778a46554f807af49f1094,https://www.airbnb.com/rooms/7445554,-2.9394568152630094,43.26156084113945,2017-08-17 08:02:43.511000,2017-09-08 01:02:11.529000,airbnb38995307,entire_home,3,6,42,2,125,0,0,0
airbnb599232778a46554f807af49f1095,https://www.airbnb.com/rooms/18808159,-2.939961346923853,43.26162994992978,2017-08-17 08:03:03.858000,2018-06-01 05:26:24.705000,airbnb85246818,entire_home,2,4,2,2,118,0,0,0
airbnb599232778a46554f807af49f1096,https://www.airbnb.com/rooms/19071388,-2.9399452173278617,43.26203841517708,2017-08-17 08:02:47.765000,2018-06-01 05:24:36.492000,airbnb101618589,private_room,2,2,9,3,60,17,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1097,https://www.airbnb.com/rooms/15141503,-2.9399001064741195,43.262059204489816,2017-08-17 08:02:32.216000,2018-06-01 05:23:31.309000,airbnb96023241,private_room,1,2,105,1,66,136,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1098,https://www.airbnb.com/rooms/19037728,-2.939874350822716,43.26235090136144,2017-08-17 08:02:35.808000,2018-06-01 05:25:25.904000,airbnb101618589,private_room,2,2,7,3,60,12,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1099,https://www.airbnb.com/rooms/24341858,-2.9399656217904586,43.26230496730273,2018-05-05 15:35:09.036000,2018-06-01 05:26:55.161000,airbnb183672620,private_room,1,2,1,1,72,0,0,0
airbnb599232778a46554f807af49f1100,https://www.airbnb.com/rooms/14088264,-2.939824778211519,43.26255526146016,2017-08-17 08:02:47.766000,2017-09-08 01:02:48.001000,airbnb51010157,private_room,1,2,43,1,35,0,0,0
airbnb599232778a46554f807af49f1101,https://www.airbnb.com/rooms/19277724,-2.9402298352907255,43.26277391747194,2017-08-17 08:02:35.809000,2018-06-01 05:24:05.692000,airbnb10776801,private_room,1,2,15,1,60,0,0,0
airbnb599232778a46554f807af49f1102,https://www.airbnb.com/rooms/24710350,-2.940400305765875,43.26261581708692,2018-05-05 15:35:09.033000,2018-05-08 08:10:26.515000,airbnb37479065,private_room,0,2,0,2,185,0,0,0
airbnb599232778a46554f807af49f1103,https://www.airbnb.com/rooms/20409571,-2.9403973574433144,43.262397335481715,2017-08-17 08:02:43.512000,2017-09-08 01:03:03.400000,airbnb119016997,entire_home,1,2,5,360,95,6,2017-09-01 00:00:00,1
airbnb599232778a46554f807af49f1104,https://www.airbnb.com/rooms/6834193,-2.9409899112736153,43.26217249494884,2018-05-05 15:35:09.036000,2018-05-08 08:10:58.601000,airbnb59550,private_room,0,2,2,3,148,2,2016-07-01 00:00:00,1
airbnb599232778a46554f807af49f1105,https://www.airbnb.com/rooms/23406210,-2.941,43.262,2018-05-05 01:34:19,2018-05-30 20:23:43.529000,airbnb37479065,private_room,0,2,19,2,62,55,2018-09-01 00:00:00,1
airbnb599232778a46554f807af49f1106,https://www.airbnb.com/rooms/3234426,-2.9422316809333644,43.262444527139195,2017-08-17 01:40:32.722000,2017-09-08 01:03:13.081000,airbnb14680451,private_room,1,2,35,1,65,0,0,0
airbnb599232778a46554f807af49f1107,https://www.airbnb.com/rooms/19618034,-2.941482022132225,43.262140890294575,2018-05-25 07:41:28.584000,2018-05-30 20:27:36.437000,airbnb137976266,entire_home,4,5,7,5,107,13,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1108,https://www.airbnb.com/rooms/24692485,-2.9416753879596906,43.26105096038103,2018-05-25 07:41:23.247000,2018-05-30 20:25:33.364000,airbnb97970926,entire_home,2,4,0,2,107,12,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1109,https://www.airbnb.com/rooms/24928672,-2.941846849712964,43.261248498707275,2018-05-25 07:41:25.867000,2018-05-30 20:26:34.409000,airbnb188473610,private_room,0,2,1,1,179,1,2018-05-01 00:00:00,1
airbnb599232778a46554f807af49f1110,https://www.airbnb.com/rooms/12193503,-2.9421113902884195,43.26067920299478,2017-08-17 01:40:32.720000,2017-09-08 01:03:19.766000,airbnb65547558,private_room,1,1,39,1,33,0,0,0
airbnb599232778a46554f807af49f1111,https://www.airbnb.com/rooms/21009498,-2.9421828653258166,43.26071085505751,2018-05-05 01:34:19.006000,2018-05-30 20:24:17.963000,airbnb132981080,private_room,1,2,31,2,52,51,2018-09-01 00:00:00,1
airbnb599232778a46554f807af49f1112,https://www.airbnb.com/rooms/14214677,-2.941726533033174,43.26048946733078,2017-08-17 01:40:24.568000,2018-05-30 20:24:34.056000,airbnb47540121,private_room,2,2,27,1,49,35,2018-08-01 00:00:00,1
airbnb599232778a46554f807af49f1113,https://www.airbnb.com/rooms/18592780,-2.942183437005602,43.25974976295718,2017-08-17 01:40:20.661000,2018-05-30 20:24:40.718000,airbnb129103964,entire_home,2,4,80,1,117,0,0,0
airbnb599232778a46554f807af49f1114,https://www.airbnb.com/rooms/16295495,-2.942246023530551,43.2594552699244,2017-08-17 01:40:36.991000,2018-05-30 20:25:18.364000,airbnb69488238,private_room,0,2,31,1,48,42,2018-07-01 00:00:00,1
airbnb599232778a46554f807af49f1115,https://www.airbnb.com/rooms/24303003,-2.9420991909199907,43.25876664475328,2018-05-25 07:41:31.262000,2018-05-30 20:28:47.969000,airbnb183337800,private_room,1,1,1,1,30,0,0,0
airbnb599232778a46554f807af49f1116,https://www.airbnb.com/rooms/24850493,-2.940753547212441,43.25857592741493,2018-05-05 15:34:37.573000,2018-05-08 08:08:18.303000,airbnb39020857,entire_home,3,5,0,1,739,0,0,0
