id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price,reviews_20181127,lastreview_20181127,exists_20181127
airbnb599232738a46554f807af449649,https://www.airbnb.com/rooms/18892338,-1.9835060755038056,43.32238236797929,2017-08-17 14:04:54.260000,2017-09-08 07:29:01.016000,airbnb124008929,entire_home,3,8,16,1,261,0,0,0
airbnb599232738a46554f807af449650,https://www.airbnb.com/rooms/11524372,-1.9832904707122325,43.322421308647655,2017-08-17 14:05:11.339000,2017-09-08 07:29:07.159000,airbnb59754218,private_room,1,4,42,1,80,0,0,0
airbnb599232738a46554f807af449651,https://www.airbnb.com/rooms/8369620,-1.9835278923403141,43.322208177626294,2017-08-17 14:04:46.213000,2018-09-22 09:18:02.318000,airbnb44111890,entire_home,0,4,30,3,,0,0,1
airbnb599232738a46554f807af449652,https://www.airbnb.com/rooms/8422266,-1.983207776756877,43.32208961340378,2017-08-17 14:04:18,2017-09-08 07:29:24.636000,airbnb20642917,entire_home,1,2,74,2,90,0,0,0
airbnb599232738a46554f807af449653,https://www.airbnb.com/rooms/19418455,-1.983,43.322,2017-08-17 14:04:09.695000,2018-09-22 09:20:52.836000,airbnb4614604,entire_home,2,4,27,2,,40,2018-11-01 00:00:00,1
airbnb599232738a46554f807af449654,https://www.airbnb.com/rooms/23577304,-1.9827946306618605,43.32202868949591,2018-05-07 12:20:28.433000,2018-09-22 09:15:25.603000,airbnb790667,private_room,0,1,0,1,,0,0,0
airbnb599232738a46554f807af449655,https://www.airbnb.com/rooms/9401190,-1.982999839038629,43.32242928626903,2017-08-17 14:05:11.340000,2017-09-08 07:29:40.104000,airbnb4271408,private_room,1,2,2,1,40,0,0,0
airbnb599232738a46554f807af449656,https://www.airbnb.com/rooms/13026026,-1.9832195940363186,43.32257136738124,2017-08-17 14:04:13.988000,2018-09-22 08:48:37.579000,airbnb71948758,entire_home,2,4,97,2,,112,2018-11-01 00:00:00,1
airbnb599232738a46554f807af449657,https://www.airbnb.com/rooms/5387741,-1.9829930652222905,43.32286414087567,2017-08-17 14:04:30.027000,2018-09-22 09:19:57.766000,airbnb27820050,private_room,0,2,111,3,,113,2018-07-01 00:00:00,1
airbnb599232738a46554f807af449658,https://www.airbnb.com/rooms/4358243,-1.9830962370210237,43.32282280820073,2017-08-17 14:04:34.161000,2018-06-02 07:22:54.573000,airbnb22622805,entire_home,3,4,14,2,96,0,0,0
