estado,tipo,dirección,longitude,latitude
VUT_Tramitacion,Viviendas de uso turístico,Mayor 3  1ª Planta. Apto B,-1.9858250313,43.3226366303
VUT_Tramitacion,Viviendas de uso turístico,Mayor 3  1ª Planta. Apto C,-1.9858250313,43.3226366303
VUT_Favorable,Viviendas de uso turístico,"Mayor 6, 01 - Dr",-1.9857811991,43.3226840554
VUT_Favorable,Viviendas de uso turístico,"Mayor 7, 01 - Dr",-1.9860814679,43.322983506
VUT_Tramitacion,Viviendas de uso turístico,"Mayor 8, 01",-1.985838543,43.3227659646
VUT_Favorable,Viviendas de uso turístico,"Mayor 9, 01 - Iz",-1.9861472514,43.3230771056
VUT_Favorable,Viviendas de uso turístico,Mayor 12  1º C,-1.9860154753,43.3230137163
VUT_Favorable,Viviendas de uso turístico,"Mayor 13, 01",-1.9862694364,43.3232426108
VUT_Favorable,Viviendas de uso turístico,"Mayor 16, 01 - C",-1.9863469237,43.3234779547
VUT_Favorable,Viviendas de uso turístico,Mayor 17  1º,-1.9864601853,43.3234977779
VUT_Favorable,Viviendas de uso turístico,Mayor 19  1º Izda.,-1.9865185937,43.3235751038
VUT_Tramitacion,Viviendas de uso turístico,"Miguel Imaz 1, 05 - Iz",-1.9767432748,43.3244009367
VUT_Tramitacion,Viviendas de uso turístico,"Miguel Imaz 4, 03 - Dr",-1.9769760172,43.3243344046
VUT_Tramitacion,Viviendas de uso turístico,"Mikeletes, Ps de los 4, 01 - D  Itsas Mendi  1º D",-2.0001651365,43.3137058925
VUT_Favorable,Viviendas de uso turístico,"Mikeletes, Ps de los 6, 01  Itsas Mendi",-2.0003843166,43.3135900294
VUT_Tramitacion,Viviendas de uso turístico,"Mikeletes, Ps de los 12, 06 - A  Itsas Mendi",-2.0003725476,43.3131269145
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 5, 02",-1.9885977702,43.3150553515
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 6, 08",-1.9887319748,43.3150234917
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 7  1º Dcha.",-1.9888674782,43.3150025386
VUT_Favorable,Viviendas de uso turístico,"Miraconcha, Ps de 8.B",-1.9889559326,43.3145987481
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 9, 01 - Dr",-1.9891974947,43.314941884
VUT_Tramitacion,Viviendas de uso turístico,"Miraconcha, Ps de 9, 03 - Dr",-1.9891974947,43.314941884
