estado,tipo,dirección,x,y
VUT_Tramitacion,"Viviendas de uso turístico","Buen Pastor,Pz del    6,    01 - Iz","582520.05","4796521.54"
VUT_Tramitacion,"Viviendas de uso turístico","Buen Pastor,Pz del    8  1º Derecha","582524.71","4796512.72"
VUT_Tramitacion,"Viviendas de uso turístico","Buen Pastor,Pz del    8  1º Izquierda","582524.71","4796512.72"
VUT_Tramitacion,"Viviendas de uso turístico","Buen Pastor,Pz del    8  2º Derecha","582524.71","4796512.72"
VUT_Tramitacion,"Viviendas de uso turístico","Buen Pastor,Pz del   18,    05 - Iz","582560.36","4796445.5"
VUT_Tramitacion,"Viviendas de uso turístico","Buen Pastor,Pz del   18,    05 - Iz","582560.36","4796445.5"
VUT_Tramitacion,"Viviendas de uso turístico","Camino    4  5º Centro","582608.76","4796977.98"
VUT_Favorable,"Viviendas de uso turístico","Campanario    5  Bajo Derecha","582148.91","4797187.97"
VUT_Favorable,"Viviendas de uso turístico","Campanario    5  Bajo Izda.","582148.91","4797187.97"
VUT_Tramitacion,"Viviendas de uso turístico","Carlos I,Av de    3,    06 - A","582833.84","4795131.06"
VUT_Tramitacion,"Viviendas de uso turístico","Carlos I,Av de    7,    09 - A","582840.11","4795090.48"
VUT_Tramitacion,"Viviendas de uso turístico","Carlos I,Av de   11,    05 - B","582845.92","4795052.61"
VUT_Tramitacion,"Viviendas de uso turístico","Carlos I,Av de   26,    08 - D","582806.03","4795020.94"
VUT_Tramitacion,"Viviendas de uso turístico","Carlos I,Av de   36,    14 - C","582810.07","4794893.07"
VUT_Favorable,"Viviendas de uso turístico","Carmelo Etxegarai    2  1ºd","580637.5","4795925.79"
VUT_Tramitacion,"Viviendas de uso turístico","Carmelo Etxegarai    8,    01 - Dr","580588.93","4795891.19"
VUT_Favorable,"Viviendas de uso turístico","Catalina de Erauso    3-Iz,    01 - C","582749.84","4795150.3"
VUT_Tramitacion,"Viviendas de uso turístico","Catalina de Erauso    7,    04 - A","582659.17","4795143.74"
VUT_Tramitacion,"Viviendas de uso turístico","Catalina de Erauso   15-Iz,    En - A","582606.32","4795146.66"
VUT_Tramitacion,"Viviendas de uso turístico","Catalina de Erauso   22,    05 - D","582529.04","4795158.03"
VUT_Tramitacion,"Viviendas de uso turístico","Centenario,Pz del    5,    05","582681.11","4796073.47"
VUT_Tramitacion,"Viviendas de uso turístico","Centenario,Pz del    5,    07","582681.11","4796073.47"
VUT_Tramitacion,"Viviendas de uso turístico","Cesar Chicote   14  Edificio Completo","583071.1","4793829.2"
VUT_Tramitacion,"Viviendas de uso turístico","Claudio A. Luzuriaga    1,    06 - C","583073.25","4797302.54"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de    3Y  Entresuelo Dcha","582908.74","4797089.47"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de    7  Entreplanta- Local B","582913.14","4797126.59"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de    9,    06 - A","582915.45","4797145.4"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   10,    03","582929.36","4797092.87"
VUT_Tramitacion,"Viviendas de uso turístico","Colon,Ps de   12,    02 - D","582958.43","4797193.43"
