estado,tipo,dirección,x,y,longitude,latitude
VUT_Tramitacion,Viviendas de uso turístico,Escolta Real 8 4º A,580967.16,4796100.09,-2.0015535648,43.3133804427
VUT_Favorable,Viviendas de uso turístico,"Escolta Real 63, 01 - Dr",581165.57,4795676,-1.9991698984,43.3095408838
VUT_Favorable,Viviendas de uso turístico,Escritor J. Artetxe 7,579800.46,4795201.69,-2.0160691211,43.3054165793
VUT_Favorable,Viviendas de uso turístico,Esterlines 17 1º,582293.06,4797168.57,-1.9850456105,43.3228562691
VUT_Tramitacion,Viviendas de uso turístico,"Etxaide 4, 03 - D",582708.7,4796845.97,-1.9799687415,43.3199062513
VUT_Tramitacion,Viviendas de uso turístico,"Etxaide 8, 03 - Iz",582731.8,4796801.84,-1.9796905467,43.3195064013
VUT_Tramitacion,Viviendas de uso turístico,"Etxaide 10, 01 - Dr",582736.63,4796793.06,-1.9796323118,43.3194268222
VUT_Tramitacion,Viviendas de uso turístico,"Etxaide 10, 01 - Iz",582736.63,4796793.06,-1.9796323118,43.3194268222
VUT_Tramitacion,Viviendas de uso turístico,"Euskadi,Pz de 1, 03 - 3 3º C",582897.55,4797042.94,-1.9776103147,43.3216588085
VUT_Tramitacion,Viviendas de uso turístico,"Euskadi,Pz de 1, 07 - B",582897.55,4797042.94,-1.9776103147,43.3216588085
VUT_Tramitacion,Viviendas de uso turístico,"Euskal Herria 5, 01 - Dr",582515.43,4797324.07,-1.9822800813,43.3242318919
