"id","latitude","longitude","price","accommodates","room_type","host_id","host_name"
13588989,43.3164419965496,-1.95003249330134,161,2,"Entire home/apt",22110650,"Maritxu"
940996,43.3136450459163,-1.98499573252858,158,4,"Entire home/apt",5086082,"Laura"
953067,43.3085667638544,-2.05977672776973,23,4,"Entire home/apt",5173315,"Casa Rural Mar Y Mar Agroturismo, S"
13777888,43.3098108863413,-1.97359615400467,134,2,"Private room",49473712,"Miren"
9190335,43.3141511564562,-1.98071973849624,61,3,"Entire home/apt",47755143,"Estibaliz"
16317370,43.3254100665683,-1.98605984581221,8,5,"Entire home/apt",84093662,"Vahe"
14031801,43.324163323452,-1.97824082066626,36,4,"Entire home/apt",83735015,"JoseLuis & Miren"
3365802,43.3208983162503,-1.94420957096364,13,4,"Entire home/apt",6540783,"Elena"
3787275,43.3148192228052,-1.99030384992813,22,2,"Private room",17097096,"Katherine"
12270497,43.3080691841221,-1.98019412255202,90,6,"Private room",66092846,"Teresa"
14441366,43.3124250242975,-1.99893519192839,61,5,"Entire home/apt",62087777,"Jens"
13491086,43.3193970098391,-1.94601967992803,15,2,"Private room",66631770,"Ainhoa"
12237292,43.3100310230825,-1.98163010641958,74,2,"Private room",65846490,"Celestino"
12041076,43.3209634544551,-1.97290156943729,173,3,"Entire home/apt",59613993,"Roberto & Lourdes"
13327213,43.3240492017224,-1.98411688542443,134,2,"Private room",71124765,"Angela"
14770162,43.3239332752923,-1.97423139919087,180,5,"Entire home/apt",92136823,"Carmen"
3588078,43.3095227330394,-2.00411138727632,8,4,"Entire home/apt",15707672,"The Rentals Collection"
14122984,43.3229697729126,-1.96742491131232,46,5,"Entire home/apt",85137945,"Iñigo"
4382676,43.3177950353534,-1.95856951142843,116,12,"Entire home/apt",15707672,"The Rentals Collection"
15810186,43.3192543632763,-1.98394083712767,61,5,"Entire home/apt",50920106,"Concepcion"
4808309,43.3190307660569,-1.97124450158717,168,4,"Entire home/apt",24766134,"Iker"
9600634,43.3145945873636,-1.98907988645931,36,4,"Entire home/apt",49686204,"Laura"
5340758,43.3270789402166,-1.96846875376084,1,4,"Entire home/apt",27677276,"Xabi"
14311011,43.2993449207835,-1.95658508183088,158,4,"Entire home/apt",87473927,"Ana Cristina"
8945213,43.323207218136,-1.98567644694701,178,2,"Entire home/apt",2625306,"Terese"
10982667,43.3016619094364,-2.06810715437095,163,4,"Private room",49871447,"Ibon"
6955120,43.3179021710366,-1.96743264017141,125,2,"Private room",36268260,"Sarah"
3251754,43.3248794272703,-1.97008969682771,15,4,"Entire home/apt",15707672,"The Rentals Collection"
13740040,43.3149841994129,-1.96882438541746,51,4,"Entire home/apt",9177390,"Eneko"
15031853,43.2791299527547,-2.0064747471471,28,4,"Entire home/apt",94924919,"Jaione"
3202524,43.3249916648444,-1.96473344133078,163,3,"Entire home/apt",16228557,"Lourdes"
4595193,43.3192426332769,-1.98060688493193,163,2,"Entire home/apt",23819599,"Ane"
3227134,43.3235853840818,-1.98669493022698,170,2,"Private room",149691,"Alex"
16211443,43.3142936565239,-1.98772260514676,168,10,"Entire home/apt",102583389,"Basque Stay"
15285746,43.3137554626496,-2.01009401763341,5,6,"Entire home/apt",97292628,"Miguel"
13819345,43.3249877265173,-1.98347348358363,134,2,"Private room",2849717,"Kelly"
9895363,43.322337494671,-1.95307346399566,143,4,"Entire home/apt",349085,"May"
4591518,43.3112972717517,-1.97445045698966,163,2,"Entire home/apt",23801039,"Isabel"
3374518,43.3207592998729,-1.98111293519798,22,4,"Entire home/apt",15707672,"The Rentals Collection"
12844450,43.3150808762074,-1.98609346494834,8,2,"Entire home/apt",36212190,"Nere"
14835118,43.3072181180607,-1.97896070473262,51,4,"Entire home/apt",92397483,"Marina"
13806894,43.3033218017757,-1.97428242163302,115,2,"Private room",81234909,"María"
6487451,43.312443761746,-2.00872340097862,178,4,"Entire home/apt",5254782,"Always Easy"
13505774,43.3249725686095,-1.98549484444858,90,3,"Private room",790667,"Off Beat Guesthouse"
7167380,43.3089936574206,-2.03856334827937,1,2,"Entire home/apt",3635738,"Luis"
7822729,43.3101888413563,-1.97949492942885,61,4,"Entire home/apt",12539245,"José"
8731482,43.3213694196826,-1.95069879706814,75,6,"Entire home/apt",45614226,"Soledad"
1194800,43.325041868015,-1.9846299946187,144,4,"Entire home/apt",4714340,"Edurne"
13654842,43.3082474927056,-2.01675495728597,22,6,"Entire home/apt",79314928,"Malen & Ane"
13572574,43.324995870743,-1.97421619516199,84,2,"Private room",54624075,"James"
14048051,43.3137470008172,-2.0085870432409,28,5,"Entire home/apt",64632576,"Garazi"
3676971,43.3226003805339,-1.985001231106,1,2,"Private room",18676106,"Estanislao"
14482194,43.3093290301625,-1.99753106086926,12,7,"Entire home/apt",42995908,"Estibalitz"
1039110,43.3165162029692,-1.96830354704321,158,2,"Private room",5719679,"Alejandra"
15768321,43.3083269468069,-1.98060161927263,163,5,"Entire home/apt",89346842,"Jennifer"
13974264,43.3233901243431,-1.97809663870471,163,2,"Private room",62220773,"Eric"
12679828,43.31069817912,-1.98709933300072,1,5,"Entire home/apt",68900724,"María"
13223021,43.3240757079802,-1.98740047989306,183,3,"Private room",73815563,"Mª Pilar"
899717,43.318448223065,-1.9837793469245,173,3,"Entire home/apt",3952766,"Jon"
7182965,43.324464853208,-1.98498492305776,15,3,"Entire home/apt",37632910,"Fanny"
16120427,43.3101434162287,-2.00155287402105,134,2,"Private room",100340746,"Koisi"
14383705,43.3217826371594,-1.98312806476572,12,4,"Entire home/apt",50920106,"Concepcion"
14580310,43.3114875294208,-1.98366956937239,90,1,"Private room",89794459,"André"
1210967,43.314870738799,-2.008313433831,69,5,"Entire home/apt",6598471,"People Rentals"
13498949,43.3026675680278,-2.00560213610029,180,4,"Entire home/apt",35292208,"Jon"
309830,43.3167881011914,-1.98624193994198,79,10,"Entire home/apt",1589633,"Emy"
13433403,43.3193372617106,-1.98130219349962,170,4,"Entire home/apt",25039584,"Ss Housing"
14277168,43.3157034641918,-1.98244556362479,40,4,"Entire home/apt",85931946,"Coro"
14572043,43.3226453837941,-1.97305686479314,158,2,"Entire home/apt",90286165,"Magy"
13228549,43.3215904907037,-1.93957082811533,125,4,"Private room",63025269,"Idoia"
16120342,43.3112495154924,-2.00157319473271,134,2,"Private room",100340746,"Koisi"
15710728,43.3093257107352,-1.99826434508145,81,2,"Private room",86695703,"Hugo"
10219260,43.3227435961351,-1.9824191475344,15,4,"Entire home/apt",52511321,"Marga & Bart"
12999148,43.319192857231,-1.97162404240265,18,3,"Entire home/apt",22707602,"Andoni"
13949419,43.3225133095872,-1.96825155537137,9,4,"Private room",10091976,"Julen"
5701507,43.3097613401107,-1.99019963358612,149,2,"Entire home/apt",5254782,"Always Easy"
2097020,43.3154966650524,-2.02600760454134,131,14,"Entire home/apt",10650761,"Andrey"
4079421,43.3202594631429,-1.97264518575853,147,3,"Entire home/apt",21115873,"Juan"
14622389,43.3108076993964,-1.9712562325661,163,2,"Entire home/apt",77307684,"Gonzalo"
11173702,43.2925303513793,-1.97539998850949,90,4,"Entire home/apt",58140293,"Cristina"
13342007,43.3228859425141,-1.97754371568542,40,6,"Entire home/apt",3952766,"Jon"
11886384,43.3107022544145,-2.00062700914717,178,4,"Entire home/apt",40272493,"Patricia"
15048498,43.3199242558717,-1.97096478708618,115,1,"Private room",49728217,"Rosa"
868112,43.3188227026566,-1.98488917919593,180,2,"Entire home/apt",3952766,"Jon"
16553982,43.3077155402223,-1.97038957344213,1,1,"Private room",12333332,"Marina"
507670,43.3066197015406,-2.05111542286306,15,2,"Entire home/apt",2499312,"Jose"
12866684,43.3110840227476,-1.98024607372365,150,4,"Entire home/apt",22467824,"Monse"
13680596,43.3213261302535,-1.96415263174571,149,5,"Entire home/apt",79642589,"Aitor"
7225080,43.3031968027112,-2.00722598241896,165,5,"Entire home/apt",37824430,"Yvan"
7028461,43.3230901611503,-1.98341915283008,27,1,"Shared room",4271408,"Olatu Guest"
3046011,43.313853609972,-1.98257461480599,132,2,"Private room",15509555,"Eider"
13287136,43.3119637992708,-1.99208565140677,91,6,"Entire home/apt",15707672,"The Rentals Collection"
11524232,43.3113885528112,-2.00775789578342,1,5,"Entire home/apt",24280325,"Maitane"
14801526,43.3153227650765,-1.97087803074929,156,2,"Private room",57726218,"Perez"
3251911,43.3139847412372,-1.97943953488517,8,2,"Entire home/apt",15707672,"The Rentals Collection"
6720114,43.3099725209354,-1.98867077091652,134,2,"Private room",35185912,"Esther"
7036560,43.3237348649254,-1.98293804134281,158,3,"Entire home/apt",4402649,"SSHA Guesthouse"
7221071,43.3241224749013,-1.96872474449054,149,2,"Private room",37032982,"Bea"
3162629,43.3165895818769,-1.98481200953444,22,3,"Entire home/apt",15707672,"The Rentals Collection"
14933661,43.3020337828652,-1.97496439652159,101,2,"Private room",81234909,"María"
1023630,43.326258648362,-1.97309268712666,134,2,"Private room",5634854,"Juanjo Y Ara"
1788424,43.3132058325752,-2.00879090358641,173,4,"Entire home/apt",1320625,"Marco"
5274012,43.3243548033115,-1.98297994917139,158,2,"Entire home/apt",22467824,"Monse"
7625179,43.310876568982,-1.98201876592859,170,3,"Entire home/apt",18192487,"José Mari"
16062919,43.3032259044802,-1.97557625045091,115,2,"Private room",81234909,"María"
7372537,43.3262278432163,-1.97040622724766,170,2,"Private room",17952471,"Itziar"
10828232,43.3106173340036,-1.99818994652558,28,6,"Entire home/apt",56067623,"Alejo"
13177934,43.3187233296837,-1.98089163664978,8,2,"Entire home/apt",15707672,"The Rentals Collection"
7002527,43.3245843630273,-1.9756764014787,61,6,"Entire home/apt",13725999,"Masa Y Borja"
10672525,43.3251269929188,-1.97433526479068,178,2,"Entire home/apt",55128126,"Jose"
13785513,43.2954039243373,-1.98904130889444,13,2,"Entire home/apt",2753432,"Suki"
12859783,43.3152018667865,-1.98756956106458,14,5,"Entire home/apt",2470030,"Vanesa"
11417988,43.3242241060286,-1.97440056664055,183,4,"Entire home/apt",59956509,"Ana"
10205568,43.3162706601593,-1.96112735756494,22,6,"Entire home/apt",52431219,"Hodei & Pili"
5265754,43.3245407123156,-1.98410583413548,149,2,"Entire home/apt",22467824,"Monse"
9354986,43.3221919261756,-1.98628563047908,149,2,"Private room",21920693,"Leire"
5527833,43.3223266152878,-1.96071613066775,15,6,"Entire home/apt",12954077,"Aritz"
1939672,43.323617208615,-1.98641651469527,76,2,"Private room",9893159,"Joseba"
15243547,43.3051257018949,-1.97152008167773,154,2,"Private room",96926071,"Manoli"
15030547,43.3154739928579,-1.97276041726344,180,3,"Entire home/apt",50920106,"Concepcion"
