"id"	"name"	"host_id"	"host_name"	"host_since"	"latitude"	"longitude"	"is_location_exact"	"property_type"	"room_type"	"accommodates"	"bathrooms"	"bedrooms"	"beds"	"bed_type"	"price"	"availability_365"	"number_of_reviews"	"license"
1075192	"Nice Room in  San Sebastian Spain"	5915555	"Concha"	"2013-04-14"	43.3125075865861	-2.00065259835752	"f"	"Other"	"Private room"	1	1	1	1	"Real Bed"	"$32.00"	173	25	""
13570213	"Off Beat Guesthouse, Cosy Double Room"	790667	"Off Beat Guesthouse"	"2011-07-07"	43.324341523876	-1.98484586478279	"t"	"Apartment"	"Private room"	2	3	1	1	"Real Bed"	"$25.00"	364	9	""
15839410	"URTXINTXA - Basque Stay"	102583389	"Basque Stay"	"2016-11-05"	43.3180242685697	-1.96833374397845	"f"	"House"	"Entire home/apt"	4	1	2	2	"Real Bed"	"$68.00"	226	0	""
7624933	"Coeur | Parte Vieja, WIFI"	15707672	"The Rentals Collection"	"2014-05-19"	43.3247212191792	-1.98648680074447	"t"	"Apartment"	"Entire home/apt"	4	1	2	3	"Real Bed"	"$150.00"	287	4	""
17146614	"ZUBIMUSU: Playa de Ondarreta, familias, grupos"	6598471	"People Rentals"	"2013-05-27"	43.3143399456458	-2.00725782069726	"t"	"Apartment"	"Entire home/apt"	6	2	3	5	"Real Bed"	"$159.00"	182	0	"TSS-00025"
13528647	"B1 BIG CHAMBRE/ROOM 5 MINUTES FROM THE BEACH"	12747666	"Nuri Emil"	"2014-03-03"	43.3231124750406	-1.96943905254924	"f"	"Apartment"	"Private room"	2	3	1	1	"Real Bed"	"$75.00"	122	34	""
10721038	"Astonishing Views | Old Town, Seafront."	35700062	"Paulo"	"2015-06-13"	43.325525281643	-1.98342947883119	"t"	"Apartment"	"Entire home/apt"	2	1	1	1	"Real Bed"	"$120.00"	252	21	"ESS00113"
8296851	"Okendo I | City centre, WIFI"	15707672	"The Rentals Collection"	"2014-05-19"	43.3228873055121	-1.98120050387225	"t"	"Apartment"	"Entire home/apt"	4	2	2	4	"Real Bed"	"$150.00"	303	7	""
7150915	"Centro, playa, todo cerca:)LSS00017"	20659319	"Lu"	"2014-08-28"	43.3169470372334	-1.98365976220857	"t"	"Apartment"	"Private room"	2	2	1	1	"Real Bed"	"$35.00"	60	92	""
1031210	"rent room by night 03"	5634854	"Juanjo Y Ara"	"2013-03-26"	43.3246113994514	-1.97180388769888	"f"	"Apartment"	"Private room"	2	2.5	1	1	"Real Bed"	"$50.00"	103	53	""
3129265	"The Aguamarina | Ondarreta, WiFi"	15707672	"The Rentals Collection"	"2014-05-19"	43.3153767007644	-2.00008449699242	"f"	"Apartment"	"Entire home/apt"	4	1	2	3	"Real Bed"	"$120.00"	358	0	""
6928338	"BOHEME ROOM, private Parking & Wifi"	16228557	"Lourdes"	"2014-06-01"	43.324685204107	-1.9642722452563	"f"	"House"	"Private room"	2	1	1	1	"Real Bed"	"$58.00"	315	114	""
13512473	"Apartamento.Playa Ondarreta-Wifi"	73601251	"Eli Y Jon"	"2016-05-23"	43.3093449677486	-2.00400530995627	"t"	"Apartment"	"Entire home/apt"	6	1	2	4	"Real Bed"	"$120.00"	0	8	""
1445649	"MIRADOR MAR: terrace + parking (10 eur/day)"	7761111	"Isabel"	"2013-07-27"	43.3276747093987	-1.96953015865891	"t"	"Apartment"	"Entire home/apt"	3	1	2	3	"Real Bed"	"$125.00"	250	17	""
13340414	"KUBO Confort & Location |CENTER"	3952766	"Jon"	"2012-10-23"	43.3233930671646	-1.97871903757506	"f"	"Apartment"	"Entire home/apt"	3	1	1	2	"Real Bed"	"$95.00"	71	10	""
11644663	"Estupendo apartamento en calle PRIM"	45278033	"Irene"	"2015-09-28"	43.3157685745791	-1.97939996334007	"f"	"Apartment"	"Entire home/apt"	4	1	1	2	"Real Bed"	"$120.00"	83	9	""
5631724	"Doble Bedroom Ondarreta Beach."	8703392	"Jorge"	"2013-09-08"	43.3156456250825	-2.00300899724363	"t"	"Villa"	"Private room"	2	1	1	1	"Real Bed"	"$90.00"	365	6	""
6336199	"BEAUTIFUL TERRACE IN THE OLD TOWN"	32988222	"Jaione"	"2015-05-09"	43.3216299025479	-1.98519251479141	"f"	"Apartment"	"Entire home/apt"	2	1	1	1	"Real Bed"	"$100.00"	131	109	"Registro Viviendas para uso turístico de Gobierno Vasco Nº ESS00081"
17133294	"Vistas al río junto a la playa"	115134693	"Juana"	"2017-02-06"	43.3207411200959	-1.97854931592587	"t"	"House"	"Entire home/apt"	3	1	1	2	"Real Bed"	"$140.00"	112	0	"ESS00652."
15652398	"Easo | City Centre, WiFi"	15707672	"The Rentals Collection"	"2014-05-19"	43.3180642230985	-1.98532896576557	"f"	"Condominium"	"Entire home/apt"	3	1	2	2	"Real Bed"	"$120.00"	352	0	""
4101647	"Amplio apartamento con parquin"	14547732	"Iñigo"	"2014-04-21"	43.3038806560675	-1.98316887383504	"t"	"Apartment"	"Entire home/apt"	4	2	2	3	"Real Bed"	"$100.00"	46	9	""
